ID;NOME_DESTINATARIO;EMAIL_DESTINATARIO;TELEFONE_DESTINATARIO;ASSUNTO;DATA_EMAIL_ENVIO;DATA_EMAIL_ENTREGA;DATA_EMAIL_ABERTURA;DATA_SMS_ENVIO;DATA_SMS_ABERTURA;SMS_STATUS;EMAIL_STATUS;WHATSAPP_STATUS;LINK_EXTERNO
c836e099-2f68-4efc-95f3-b5c789560efd;Kelli Krajcik;Ashlee.Stark@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
2582f61f-ab91-4862-ac2d-6039f4b2333b;Roger Predovic DVM;Aylin.Brakus@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
272b2667-c351-401e-af2a-a83811490b99;Mario Kirlin;Enoch.Crona47@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Falha;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
b5850655-efe1-4b97-811e-25bf88a393ff;Kara Emmerich;Cathy96@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
1d4daef7-2dcf-469e-a74b-cd3170350e48;Isabel Haag;Grover_Runolfsson45@yahoo.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
071b66e4-ebff-4552-9242-ff9d532940ab;Camille Hills;Isobel.Mayer@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Falha;Enviado/Entregue;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
763a0f1b-7ff5-48b7-9132-1f8fec48a72f;Rebecca Kreiger;Elfrieda_Krajcik@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Falha;Enviado/Entregue;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
732daab4-9cb4-4b31-bfc7-fe031a0d8120;Ms. Janis Wyman;Benny_Schmidt55@hotmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Falha;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
aed7439b-567c-42c3-bb73-deb04f74ea65;Lester Pouros;Dorothy_Hoppe7@gmail.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Falha - Email Inválido;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
53785218-5969-4f78-aec8-f4470cff1d1f;Ramiro Kub;Rebeca_Hane67@yahoo.com;99839999999;AFFIANCE LIFE - NOTIFICAÇÃO DE CANCELAMENTO;;;;20/01/2022 18:24:16;;Enviado;Enviado/Entregue;;https://portal.ar-email.com.br/emails/info/public/ea5d8d47-9a64-4a4d-bc94-06cd228bdb29
